a,?,1.5,u,g,ff,ff,0,f,t,02,t,g,00200,105,-
a,46.00,4,u,g,j,j,0,t,f,0,f,g,00100,960,+
b,20.00,0,u,g,d,v,0.5,f,f,0,f,g,00144,0,-
b,47.33,6.5,u,g,c,v,1,f,f,0,t,g,00000,228,-
b,19.17,0,y,p,m,bb,0,f,f,0,t,s,00500,1,+
b,24.33,6.625,y,p,d,v,5.5,t,f,0,t,s,00100,0,+
b,21.58,0.79,y,p,cc,v,0.665,f,f,0,f,g,00160,0,-
b,25.00,12.5,u,g,aa,v,3,t,f,0,t,s,00020,0,+
b,21.92,0.5,u,g,c,v,0.125,f,f,0,f,g,00360,0,-
b,20.00,11.045,u,g,c,v,2,f,f,0,t,g,00136,0,-
a,23.50,1.5,u,g,w,v,0.875,f,f,0,t,g,00160,0,-
a,40.83,10,u,g,q,h,1.75,t,f,0,f,g,00029,837,+
b,22.67,0.165,u,g,c,j,2.25,f,f,0,t,s,00000,0,+
b,21.67,1.165,y,p,k,v,2.5,t,t,01,f,g,00180,20,-
a,30.58,10.665,u,g,q,h,0.085,f,t,12,t,g,00129,3,-
b,20.17,9.25,u,g,c,v,1.665,t,t,03,t,g,00040,28,+
b,27.83,1,y,p,d,h,3,f,f,0,f,g,00176,537,-
a,16.08,0.335,u,g,ff,ff,0,f,t,01,f,g,00160,126,-
b,37.33,2.665,u,g,cc,v,0.165,f,f,0,t,g,00000,501,-
b,29.83,2.04,y,p,x,h,0.04,f,f,0,f,g,00128,1,-
a,16.00,0.165,u,g,aa,v,1,f,t,02,t,g,00320,1,-
b,34.75,2.5,u,g,cc,bb,0.5,f,f,0,f,g,00348,0,-
a,21.75,1.75,y,p,j,j,0,f,f,0,f,g,00160,0,-
b,21.92,0.54,y,p,x,v,0.04,t,t,01,t,g,00840,59,+
b,23.92,0.585,y,p,cc,h,0.125,f,f,0,f,g,00240,1,-
?,40.83,3.5,u,g,i,bb,0.5,f,f,0,f,s,01160,0,-
b,40.25,21.5,u,g,e,z,20,t,t,11,f,g,00000,1200,+
b,34.25,3,u,g,cc,h,7.415,t,f,0,t,g,00000,0,+
a,22.50,0.415,u,g,i,v,0.335,f,f,0,t,s,00144,0,-
b,27.67,0.75,u,g,q,h,0.165,f,f,0,t,g,00220,251,-
b,36.25,5,u,g,c,bb,2.5,t,t,06,f,g,00000,367,+
b,?,4,u,g,x,v,5,t,t,03,t,g,00290,2279,+
b,39.92,0.54,y,p,aa,v,0.5,t,t,03,f,g,00200,1000,+
a,19.75,0.75,u,g,c,v,0.795,t,t,05,t,g,00140,5,-
b,38.67,0.21,u,g,k,v,0.085,t,f,0,t,g,00280,0,+
a,20.67,1.835,u,g,q,v,2.085,t,t,05,f,g,00220,2503,+
b,60.08,14.5,u,g,ff,ff,18,t,t,15,t,g,00000,1000,+
b,35.25,3.165,u,g,x,h,3.75,t,f,0,t,g,00680,0,-
b,18.50,2,u,g,i,v,1.5,t,t,02,f,g,00120,300,+
a,47.42,8,u,g,e,bb,6.5,t,t,06,f,g,00375,51100,+
b,21.83,11,u,g,x,v,0.29,t,t,06,f,g,00121,0,+
a,38.58,5,u,g,cc,v,13.5,t,f,0,t,g,00980,0,-
b,30.75,1.585,u,g,d,v,0.585,f,f,0,t,s,00000,0,-
b,43.08,0.375,y,p,c,v,0.375,t,t,08,t,g,00300,162,+
b,34.17,2.75,u,g,i,bb,2.5,f,f,0,t,g,00232,200,-
b,64.08,20,u,g,x,h,17.5,t,t,09,t,g,00000,1000,+
a,38.92,1.665,u,g,aa,v,0.25,f,f,0,f,g,00000,390,-
b,34.00,5.085,y,p,i,bb,1.085,f,f,0,t,g,00480,0,-
b,34.08,6.5,u,g,aa,v,0.125,t,f,0,t,g,00443,0,-
b,22.75,11.5,u,g,i,v,0.415,f,f,0,f,g,00000,0,-
a,18.17,10,y,p,q,h,0.165,f,f,0,f,g,00340,0,-
b,62.50,12.75,y,p,c,h,5,t,f,0,f,g,00112,0,-
b,30.33,0.5,u,g,d,h,0.085,f,f,0,t,s,00252,0,-
b,22.08,0.83,u,g,c,h,2.165,f,f,0,t,g,00128,0,+
a,20.42,0.835,u,g,q,v,1.585,t,t,01,f,g,00000,0,+
a,22.67,7,u,g,c,v,0.165,f,f,0,f,g,00160,0,-
b,30.17,0.5,u,g,c,v,1.75,t,t,11,f,g,00032,540,+
b,26.92,2.25,u,g,i,bb,0.5,f,f,0,t,g,00640,4000,-
b,48.33,12,u,g,m,v,16,t,f,0,f,s,00110,0,+
a,15.75,0.375,u,g,c,v,1,f,f,0,f,g,00120,18,-
b,42.00,9.79,u,g,x,h,7.96,t,t,08,f,g,00000,0,+
a,50.08,12.54,u,g,aa,v,2.29,t,t,03,t,g,00156,0,+
b,20.42,7,u,g,c,v,1.625,t,t,03,f,g,00200,1391,+
a,19.17,0.585,y,p,aa,v,0.585,t,f,0,t,g,00160,0,-
b,16.17,0.04,u,g,c,v,0.04,f,f,0,f,g,00000,0,+
a,35.75,0.915,u,g,aa,v,0.75,t,t,04,f,g,00000,1583,+
b,39.33,5.875,u,g,cc,h,10,t,t,14,t,g,00399,0,+
b,23.33,11.625,y,p,w,v,0.835,t,f,0,t,g,00160,300,+
b,48.58,6.5,u,g,q,h,6,t,f,0,t,g,00350,0,+
a,24.83,4.5,u,g,w,v,1,f,f,0,t,g,00360,6,-
a,22.50,8.46,y,p,x,v,2.46,f,f,0,f,g,00164,0,+
a,24.50,0.5,u,g,q,h,1.5,t,f,0,f,g,00280,824,+
b,36.50,4.25,u,g,q,v,3.5,f,f,0,f,g,00454,50,-
a,27.67,1.5,u,g,m,v,2,t,f,0,f,s,00368,0,-
b,23.42,1,u,g,c,v,0.5,f,f,0,t,s,00280,0,-
b,21.08,10.085,y,p,e,h,1.25,f,f,0,f,g,00260,0,-
b,21.25,1.5,u,g,w,v,1.5,f,f,0,f,g,00150,8,+
b,25.75,0.75,u,g,c,bb,0.25,t,f,0,f,g,00349,23,+
b,39.92,6.21,u,g,q,v,0.04,t,t,01,f,g,00200,300,+
b,25.83,12.835,u,g,cc,v,0.5,f,f,0,f,g,00000,2,-
a,19.67,0.21,u,g,q,h,0.29,t,t,11,f,g,00080,99,+
a,22.42,11.25,y,p,x,h,0.75,t,t,04,f,g,00000,321,+
b,19.42,7.25,u,g,m,v,0.04,f,t,01,f,g,00100,1,-
b,22.67,0.75,u,g,i,v,1.585,f,t,01,t,g,00400,9,-
b,20.42,1.835,u,g,c,v,2.25,t,t,01,f,g,00100,150,+
a,30.25,5.5,u,g,k,v,5.5,f,f,0,t,s,00100,0,-
b,56.75,12.25,u,g,m,v,1.25,t,t,04,t,g,00200,0,+
a,30.50,6.5,u,g,c,bb,4,t,t,07,t,g,00000,3065,+
b,29.25,14.79,u,g,aa,v,5.04,t,t,05,t,g,00168,0,+
b,35.17,25.125,u,g,x,h,1.625,t,t,01,t,g,00515,500,+
a,20.50,11.835,u,g,c,h,6,t,f,0,f,g,00340,0,+
a,18.83,9.54,u,g,aa,v,0.085,t,f,0,f,g,00100,0,+
b,56.42,28,y,p,c,v,28.5,t,t,40,f,g,00000,15,+
a,57.08,0.335,u,g,i,bb,1,t,f,0,t,g,00252,2197,-
b,32.33,7.5,u,g,e,bb,1.585,t,f,0,t,s,00420,0,-
a,20.67,3,u,g,q,v,0.165,t,t,03,f,g,00100,6,+
a,60.58,16.5,u,g,q,v,11,t,f,0,t,g,00021,10561,+
b,41.58,1.75,u,g,k,v,0.21,t,f,0,f,g,00160,0,-
b,41.17,1.335,u,g,d,v,0.165,f,f,0,f,g,00168,0,-
a,21.08,5,y,p,ff,ff,0,f,f,0,f,g,00000,0,-
a,69.50,6,u,g,ff,ff,0,f,f,0,f,s,00000,0,-
a,18.08,0.375,l,gg,cc,ff,10,f,f,0,t,s,00300,0,+
?,24.50,12.75,u,g,c,bb,4.75,t,t,02,f,g,00073,444,+
a,24.92,1.25,u,g,ff,ff,0,t,f,0,f,g,00080,0,-
b,34.17,1.54,u,g,cc,v,1.54,t,t,01,t,g,00520,50000,+
b,45.17,1.5,u,g,c,v,2.5,t,f,0,t,g,00140,0,-
b,23.92,0.665,u,g,c,v,0.165,f,f,0,f,g,00100,0,+
b,57.83,7.04,u,g,m,v,14,t,t,06,t,g,00360,1332,+
b,50.75,0.585,u,g,ff,ff,0,f,f,0,f,g,00145,0,-
b,54.58,9.415,u,g,ff,ff,14.415,t,t,11,t,g,00030,300,+
b,32.25,14,y,p,ff,ff,0,f,t,02,f,g,00160,1,-
b,41.75,0.96,u,g,x,v,2.5,t,f,0,f,g,00510,600,+
b,33.17,1.04,u,g,r,h,6.5,t,f,0,t,g,00164,31285,+
b,35.25,16.5,y,p,c,v,4,t,f,0,f,g,00080,0,-
a,21.67,11.5,y,p,j,j,0,t,t,11,t,g,00000,0,+
b,69.17,9,u,g,ff,ff,4,f,t,01,f,g,00070,6,-
a,47.42,3,u,g,x,v,13.875,t,t,02,t,g,00519,1704,+
